Date,USD_to_pound_spot
2012-07-31,1.5686
2012-08-01,1.5596
2012-08-02,1.55
2012-08-03,1.565
2012-08-06,1.5625
2012-08-07,1.5658
2012-08-08,1.5659
2012-08-09,1.5623
2012-08-10,1.5679
2012-08-13,1.569
2012-08-14,1.5692
2012-08-15,1.5686
2012-08-16,1.5738
2012-08-17,1.5697
2012-08-20,1.5707
2012-08-21,1.5788
2012-08-22,1.58
2012-08-23,1.5882
2012-08-24,1.5815
2012-08-27,1.58
2012-08-28,1.5828
2012-08-29,1.5839
2012-08-30,1.5794
2012-08-31,1.5864
2012-09-03,
2012-09-04,1.5889
2012-09-05,1.5907
2012-09-06,1.5922
2012-09-07,1.6016
2012-09-10,1.6009
2012-09-11,1.6071
2012-09-12,1.6111
2012-09-13,1.6125
2012-09-14,1.6244
2012-09-17,1.6263
2012-09-18,1.6251
2012-09-19,1.6219
2012-09-20,1.6198
2012-09-21,1.6251
2012-09-24,1.6199
2012-09-25,1.6232
2012-09-26,1.6145
2012-09-27,1.6217
2012-09-28,1.6132
2012-10-01,1.6142
2012-10-02,1.6186
2012-10-03,1.6077
2012-10-04,1.6165
2012-10-05,1.6196
2012-10-08,
2012-10-09,1.5987
2012-10-10,1.6007
2012-10-11,1.6028
2012-10-12,1.6075
2012-10-15,1.6069
2012-10-16,1.6101
2012-10-17,1.6165
2012-10-18,1.6141
2012-10-19,1.6003
2012-10-22,1.6028
2012-10-23,1.5932
2012-10-24,1.6015
2012-10-25,1.6119
2012-10-26,1.6098
2012-10-29,1.6025
2012-10-30,1.6083
2012-10-31,1.6111
2012-11-01,1.6142
2012-11-02,1.6036
2012-11-05,1.5977
2012-11-06,1.5985
2012-11-07,1.5975
2012-11-08,1.5979
2012-11-09,1.5912
2012-11-12,
2012-11-13,1.5885
2012-11-14,1.5849
2012-11-15,1.5865
2012-11-16,1.5866
2012-11-19,1.5908
2012-11-20,1.5927
2012-11-21,1.5936
2012-11-22,
2012-11-23,1.6032
2012-11-26,1.6014
2012-11-27,1.6028
2012-11-28,1.5997
2012-11-29,1.6026
2012-11-30,1.6027
2012-12-03,1.6104
2012-12-04,1.6097
2012-12-05,1.6102
2012-12-06,1.6066
2012-12-07,1.6031
2012-12-10,1.6068
2012-12-11,1.6103
2012-12-12,1.6132
2012-12-13,1.613
2012-12-14,1.6139
2012-12-17,1.6203
2012-12-18,1.6256
2012-12-19,1.6275
2012-12-20,1.6268
2012-12-21,1.6167
2012-12-24,1.6113
2012-12-25,
2012-12-26,1.6118
2012-12-27,1.6106
2012-12-28,1.6157
2012-12-31,1.6262
2013-01-01,
2013-01-02,1.6255
2013-01-03,1.6151
2013-01-04,1.6036
2013-01-07,1.608
2013-01-08,1.604
2013-01-09,1.6024
2013-01-10,1.6125
2013-01-11,1.6128
2013-01-14,1.6077
2013-01-15,1.6089
2013-01-16,1.6009
2013-01-17,1.5991
2013-01-18,1.5876
2013-01-21,
2013-01-22,1.5862
2013-01-23,1.5848
2013-01-24,1.5789
2013-01-25,1.5799
2013-01-28,1.5686
2013-01-29,1.5751
2013-01-30,1.5793
2013-01-31,1.5856
2013-02-01,1.5744
2013-02-04,1.5737
2013-02-05,1.5652
2013-02-06,1.5655
2013-02-07,1.5712
2013-02-08,1.5814
2013-02-11,1.5668
2013-02-12,1.5654
2013-02-13,1.5544
2013-02-14,1.5502
2013-02-15,1.5518
2013-02-18,
2013-02-19,1.5432
2013-02-20,1.5301
2013-02-21,1.5263
2013-02-22,1.5256
2013-02-25,1.5112
2013-02-26,1.5125
2013-02-27,1.5134
2013-02-28,1.5192
2013-03-01,1.5033
2013-03-04,1.5084
2013-03-05,1.5098
