Date,USD_Emerging_Mkt_index
2012-07-27,97.7697
2012-07-30,97.7854
2012-07-31,97.632
2012-08-01,97.5993
2012-08-02,98.0153
2012-08-03,97.3594
2012-08-06,97.1661
2012-08-07,97.3213
2012-08-08,97.3081
2012-08-09,97.1737
2012-08-10,97.182
2012-08-13,97.4019
2012-08-14,97.3807
2012-08-15,97.4543
2012-08-16,97.4315
2012-08-17,97.4865
2012-08-20,97.4115
2012-08-21,97.2835
2012-08-22,97.4006
2012-08-23,97.2598
2012-08-24,97.3994
2012-08-27,97.4769
2012-08-28,97.5344
2012-08-29,97.7586
2012-08-30,97.9595
2012-08-31,97.5522
2012-09-03,
2012-09-04,97.4472
2012-09-05,97.3636
2012-09-06,97.1008
2012-09-07,96.8494
2012-09-10,96.7927
2012-09-11,96.7187
2012-09-12,96.7159
2012-09-13,96.6657
2012-09-14,95.6878
2012-09-17,95.7931
2012-09-18,95.995
2012-09-19,95.9855
2012-09-20,96.1715
2012-09-21,95.9238
2012-09-24,96.1793
2012-09-25,95.9433
2012-09-26,96.2138
2012-09-27,95.9607
2012-09-28,95.8691
2012-10-01,95.7289
2012-10-02,95.7558
2012-10-03,95.7656
2012-10-04,95.4761
2012-10-05,95.3588
2012-10-08,
2012-10-09,95.9152
2012-10-10,96.0075
2012-10-11,95.823
2012-10-12,95.7558
2012-10-15,95.6449
2012-10-16,95.511
2012-10-17,95.3885
2012-10-18,95.4902
2012-10-19,95.6771
2012-10-22,95.6322
2012-10-23,95.9325
2012-10-24,95.9632
2012-10-25,95.807
2012-10-26,95.9256
2012-10-29,
2012-10-30,
2012-10-31,95.9941
2012-11-01,95.8999
2012-11-02,95.8442
2012-11-05,96.11
2012-11-06,95.8871
2012-11-07,96.011
2012-11-08,96.1253
2012-11-09,96.2901
2012-11-12,
2012-11-13,96.3736
2012-11-14,96.387
2012-11-15,96.501
2012-11-16,96.5135
2012-11-19,96.1339
2012-11-20,96.0188
2012-11-21,96.1101
2012-11-22,
2012-11-23,95.965
2012-11-26,95.9919
2012-11-27,95.8892
2012-11-28,96.0746
2012-11-29,95.866
2012-11-30,95.7149
2012-12-03,95.7833
2012-12-04,95.8325
2012-12-05,95.6993
2012-12-06,95.6447
2012-12-07,95.5476
2012-12-10,95.4239
2012-12-11,95.3687
2012-12-12,95.3057
2012-12-13,95.3857
2012-12-14,95.4001
2012-12-17,95.3673
2012-12-18,95.2599
2012-12-19,95.2105
2012-12-20,95.2968
2012-12-21,95.6671
2012-12-24,95.7762
2012-12-25,
2012-12-26,95.7419
2012-12-27,95.737
2012-12-28,95.6113
2012-12-31,95.558
2013-01-01,
2013-01-02,95.0113
2013-01-03,94.9935
2013-01-04,95.132
2013-01-07,95.1415
2013-01-08,95.1922
2013-01-09,95.0396
2013-01-10,94.7505
2013-01-11,94.772
2013-01-14,94.6628
2013-01-15,94.7077
2013-01-16,94.6764
2013-01-17,94.5391
2013-01-18,94.6739
2013-01-21,
2013-01-22,94.755
2013-01-23,94.7193
2013-01-24,94.647
2013-01-25,94.9187
2013-01-28,95.2276
2013-01-29,94.8998
2013-01-30,94.9739
2013-01-31,94.9878
2013-02-01,94.8324
2013-02-04,95.0115
2013-02-05,94.7527
2013-02-06,94.9127
2013-02-07,95.0386
2013-02-08,95.0848
2013-02-11,95.1742
2013-02-12,95.0734
2013-02-13,94.9929
2013-02-14,94.9259
2013-02-15,94.9239
2013-02-18,
2013-02-19,94.9338
2013-02-20,94.9335
2013-02-21,95.2592
2013-02-22,95.1726
2013-02-25,95.1266
2013-02-26,95.5073
2013-02-27,95.2719
2013-02-28,95.1923
2013-03-01,95.3092
2013-03-04,95.3643
2013-03-05,95.195
2013-03-06,
2013-03-07,95.2063
2013-03-08,94.8997
2013-03-11,94.7809
2013-03-12,94.5643
2013-03-13,94.498
2013-03-14,94.6624
2013-03-15,94.6492
2013-03-18,94.7304
2013-03-19,94.7787
2013-03-20,94.6566
2013-03-21,94.6127
2013-03-22,94.7177
2013-03-25,94.5952
2013-03-26,94.5303
2013-03-27,94.6717
2013-03-28,94.6055
2013-03-29,94.5458
2013-04-01,94.5714
2013-04-02,94.4283
2013-04-03,94.5186
2013-04-04,94.6611
2013-04-05,94.4435
2013-04-08,94.2956
2013-04-09,94.1457
2013-04-10,94.0152
2013-04-11,93.8737
2013-04-12,93.9442
2013-04-15,94.0651
2013-04-16,93.9898
2013-04-17,94.1634
2013-04-18,94.2644
2013-04-19,94.1413
2013-04-22,94.3764
2013-04-23,94.2702
2013-04-24,94.3218
2013-04-25,93.8431
2013-04-26,93.9357
2013-04-29,93.7138
2013-04-30,93.6845
2013-05-01,93.8822
2013-05-02,93.7552
2013-05-03,93.566
2013-05-06,93.626
2013-05-07,93.4724
2013-05-08,93.2086
2013-05-09,93.1448
2013-05-10,93.8231
2013-05-13,93.9345
2013-05-14,93.8845
2013-05-15,94.2175
2013-05-16,94.2514
2013-05-17,94.4823
2013-05-20,94.476
2013-05-21,94.4344
2013-05-22,94.5254
2013-05-23,94.9644
2013-05-24,95.1034
2013-05-27,
2013-05-28,95.2044
2013-05-29,95.5479
2013-05-30,95.8397
2013-05-31,95.976
2013-06-03,95.9497
2013-06-04,95.789
2013-06-05,95.9463
2013-06-06,96.1208
2013-06-07,95.7723
2013-06-10,96.3258
2013-06-11,96.3968
2013-06-12,96.2574
2013-06-13,96.1247
2013-06-14,95.8238
2013-06-17,96.0555
2013-06-18,96.4858
2013-06-19,96.4397
2013-06-20,98.0684
2013-06-21,98.1673
2013-06-24,98.2219
2013-06-25,97.7203
2013-06-26,97.7598
2013-06-27,97.246
2013-06-28,97.1006
2013-07-01,96.8563
2013-07-02,97.0711
2013-07-03,97.3374
2013-07-04,
2013-07-05,97.4625
2013-07-08,97.3826
2013-07-09,97.0832
2013-07-10,97.1755
2013-07-11,96.8014
2013-07-12,96.7945
2013-07-15,96.5433
2013-07-16,96.1871
2013-07-17,95.9922
2013-07-18,96.1426
2013-07-19,96.1254
2013-07-22,96.0276
2013-07-23,96.0115
2013-07-24,96.3038
2013-07-25,96.383
2013-07-26,96.4583
2013-07-29,96.5624
2013-07-30,96.7967
2013-07-31,97.0957
2013-08-01,97.0342
2013-08-02,96.7411
2013-08-05,96.6378
2013-08-06,96.549
2013-08-07,96.7102
2013-08-08,96.3818
2013-08-09,96.3019
2013-08-12,96.3435
2013-08-13,96.8727
2013-08-14,96.8315
2013-08-15,97.1161
2013-08-16,97.2114
2013-08-19,97.7787
2013-08-20,97.7869
2013-08-21,98.3121
2013-08-22,98.4175
2013-08-23,97.8132
2013-08-26,98.2163
2013-08-27,98.8889
2013-08-28,98.7239
2013-08-29,98.6308
2013-08-30,98.7104
2013-09-02,
2013-09-03,99.0225
2013-09-04,98.5885
2013-09-05,98.7801
2013-09-06,98.1152
2013-09-09,97.9618
2013-09-10,97.7757
2013-09-11,97.5655
2013-09-12,97.5261
2013-09-13,97.4914
2013-09-16,97.1362
2013-09-17,97.0674
2013-09-18,97.1109
2013-09-19,96.1481
2013-09-20,96.3644
2013-09-23,96.4945
2013-09-24,96.6728
2013-09-25,96.86
2013-09-26,97.0408
2013-09-27,97.3517
2013-09-30,97.3206
2013-10-01,97.3023
2013-10-02,97.2046
2013-10-03,97.3365
2013-10-04,96.9151
2013-10-07,96.9666
2013-10-08,97.1292
2013-10-09,97.267
2013-10-10,96.8002
2013-10-11,96.792
2013-10-14,
2013-10-15,96.4512
2013-10-16,96.2577
2013-10-17,95.9278
2013-10-18,95.9795
2013-10-21,96.3478
2013-10-22,96.1336
2013-10-23,96.2348
2013-10-24,96.3727
2013-10-25,96.1567
2013-10-28,96.1438
2013-10-29,96.1939
2013-10-30,96.1926
2013-10-31,96.6356
2013-11-01,96.9705
2013-11-04,96.7445
2013-11-05,97.1444
2013-11-06,97.1852
2013-11-07,97.3349
2013-11-08,97.4949
2013-11-11,
2013-11-12,97.7018
2013-11-13,97.4223
2013-11-14,97.2055
2013-11-15,97.0443
2013-11-18,96.6603
2013-11-19,96.7273
2013-11-20,96.9767
2013-11-21,97.3438
2013-11-22,97.1683
2013-11-25,97.1504
2013-11-26,97.3221
2013-11-27,97.4647
2013-11-28,
2013-11-29,97.524
2013-12-02,97.7118
2013-12-03,97.8016
2013-12-04,97.6215
2013-12-05,97.361
2013-12-06,97.0473
2013-12-09,96.6664
2013-12-10,
2013-12-11,96.9508
2013-12-12,97.2338
2013-12-13,97.1183
2013-12-16,97.0376
2013-12-17,97.0781
2013-12-18,97.2793
2013-12-19,97.396
2013-12-20,97.3987
2013-12-23,97.3962
2013-12-24,97.4629
2013-12-25,
2013-12-26,97.5681
2013-12-27,97.5268
2013-12-30,97.4346
2013-12-31,97.4769
2014-01-01,
2014-01-02,97.653
2014-01-03,97.6439
2014-01-06,97.7167
2014-01-07,97.6524
2014-01-08,97.7371
2014-01-09,97.8669
2014-01-10,97.372
2014-01-13,97.298
2014-01-14,97.4613
2014-01-15,97.7189
2014-01-16,98.1125
2014-01-17,98.0078
2014-01-20,
2014-01-21,98.2408
2014-01-22,98.3285
2014-01-23,98.6689
2014-01-24,98.959
2014-01-27,99.0562
2014-01-28,98.7452
2014-01-29,98.7893
2014-01-30,98.7934
2014-01-31,98.9393
2014-02-03,99.3501
2014-02-04,98.9024
2014-02-05,98.8153
2014-02-06,98.5044
2014-02-07,98.694
2014-02-10,98.6739
2014-02-11,98.6062
2014-02-12,98.556
2014-02-13,
2014-02-14,98.337
2014-02-17,
2014-02-18,98.3688
2014-02-19,98.5311
2014-02-20,98.6613
2014-02-21,
2014-02-24,98.4303
2014-02-25,98.582
2014-02-26,98.8085
2014-02-27,98.7726
2014-02-28,98.6424
2014-03-03,
2014-03-04,98.8038
2014-03-05,98.6267
2014-03-06,98.1427
2014-03-07,98.3701
2014-03-10,98.555
2014-03-11,98.606
2014-03-12,98.7854
2014-03-13,98.626
2014-03-14,98.713
2014-03-17,
2014-03-18,98.7196
2014-03-19,98.7075
2014-03-20,99.2219
2014-03-21,99.0824
2014-03-24,98.8434
2014-03-25,98.6766
2014-03-26,98.6243
2014-03-27,98.4293
2014-03-28,98.3665
2014-03-31,98.2515
2014-04-01,98.0605
2014-04-02,98.2491
2014-04-03,98.4265
2014-04-04,98.0629
