Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
1958-10,26.18,3.14,3.39,3.24,2.85,3.55,3.55,2.55,3.85,3.71,1.96,3.72,3.37,2.7,4.43,3.09,2.0,3.99,3.7
1958-11,6.16,4.5,5.07,3.33,4.48,4.94,5.66,3.97,2.83,6.92,1.95,4.52,5.37,5.89,5.43,3.61,4.33,2.39,3.28
1958-12,16.66,4.83,4.34,4.03,4.99,4.77,4.47,3.22,4.52,4.95,5.02,4.52,5.03,4.38,4.56,3.41,3.03,4.06,4.97
1959-01,-2.31,1.22,2.85,6.52,0.05,2.14,3.28,4.35,7.44,-0.25,0.38,3.5,0.72,3.92,2.62,4.07,4.63,5.71,9.18
1959-02,-3.69,3.1,3.22,3.71,3.72,2.6,2.81,3.98,3.56,3.63,3.81,1.88,3.34,2.51,3.11,3.92,4.04,4.52,2.59
1959-03,7.92,1.24,0.59,3.0,0.96,1.5,0.6,1.49,2.98,1.26,0.65,1.78,1.2,-0.1,1.33,-0.02,3.03,1.58,4.39
1959-04,1.49,3.55,2.66,3.01,4.5,2.28,2.67,3.33,2.38,5.89,3.07,1.67,2.91,1.47,3.92,2.4,4.28,0.93,3.83
1959-05,4.53,0.18,1.31,1.4,0.68,0.21,0.61,1.88,1.61,1.13,0.22,-0.79,1.25,-0.16,1.41,2.79,0.95,1.09,2.14
1959-06,6.63,0.77,0.35,0.99,1.19,-0.21,-0.14,0.69,1.83,1.63,0.72,-0.03,-0.4,-0.16,-0.12,2.05,-0.7,1.64,2.02
1959-07,6.07,2.9,3.28,3.41,3.48,2.46,3.57,2.85,3.67,3.9,3.06,1.73,3.19,3.49,3.65,2.8,2.9,4.23,3.13
1959-08,6.52,-2.5,-0.25,-1.63,-2.57,-1.43,-0.46,-0.18,-2.06,-2.59,-2.55,-2.36,-0.51,-1.19,0.3,0.42,-0.79,-1.88,-2.22
1959-09,-6.51,-5.32,-3.88,-4.35,-5.29,-4.96,-3.98,-3.61,-4.43,-6.11,-4.47,-5.38,-4.54,-4.77,-3.16,-3.04,-4.18,-4.39,-4.46
1959-10,7.39,3.2,2.03,2.09,3.74,2.17,2.23,2.49,1.35,3.54,3.95,2.12,2.21,2.37,2.09,1.44,3.55,3.14,-0.36
1959-11,12.95,2.65,1.71,2.06,3.5,1.67,1.83,1.44,2.04,3.96,3.05,0.95,2.4,2.14,1.52,0.78,2.09,3.33,0.8
1959-12,-5.96,2.79,2.02,1.66,2.58,1.69,3.09,2.22,1.14,3.1,2.05,3.23,0.15,3.37,2.81,1.75,2.7,1.65,0.65
1960-01,-2.73,-6.61,-4.31,-5.05,-6.35,-5.65,-4.86,-4.12,-5.14,-7.03,-5.67,-7.13,-4.18,-4.59,-5.13,-3.35,-4.89,-4.01,-6.22
1960-02,-0.27,3.1,1.18,1.14,3.93,1.07,1.67,0.72,1.34,5.98,1.88,1.44,0.7,1.51,1.83,0.7,0.75,1.51,1.18
1960-03,7.84,-1.47,-1.26,-2.88,-1.03,-2.3,-0.84,-1.29,-3.58,-0.32,-1.75,-2.34,-2.26,-1.28,-0.38,-1.11,-1.47,-1.91,-5.19
1960-04,5.6,-0.91,-1.28,-1.58,-0.35,-1.41,-1.56,-1.17,-1.8,-1.22,0.52,-2.02,-0.8,-1.38,-1.74,-1.2,-1.13,-0.53,-3.02
1960-05,17.59,5.43,2.75,1.38,6.2,3.21,3.21,1.19,1.91,7.94,4.47,3.89,2.52,3.42,2.99,2.06,0.31,3.41,0.46
1960-06,-0.52,1.81,2.86,2.83,2.0,2.08,1.93,4.15,2.51,0.53,3.47,1.43,2.73,2.64,1.21,4.83,3.47,1.89,3.1
1960-07,-7.88,-4.23,-1.47,-1.02,-4.57,-3.0,-1.36,-0.69,-1.2,-5.29,-3.83,-3.56,-2.44,-0.84,-1.89,-0.74,-0.64,-0.86,-1.55
1960-08,12.43,2.47,3.16,4.47,2.22,2.94,3.13,3.05,5.39,2.42,2.02,2.99,2.89,2.7,3.58,3.46,2.64,5.42,5.36
1960-09,-10.95,-7.03,-5.2,-5.32,-7.35,-6.51,-5.1,-3.93,-6.03,-8.23,-6.46,-6.39,-6.63,-5.63,-4.56,-3.96,-3.89,-5.74,-6.33
1960-10,-11.02,-3.38,-1.11,-2.3,-4.12,-1.72,-0.95,-1.65,-2.29,-5.39,-2.83,-1.89,-1.54,-0.78,-1.12,-1.01,-2.3,-1.42,-3.17
1960-11,3.49,6.6,5.41,4.42,6.96,5.63,5.29,5.49,3.97,6.63,7.3,5.86,5.4,5.92,4.65,5.67,5.31,4.73,3.21
1960-12,7.99,4.85,4.56,4.16,5.21,4.92,4.28,4.65,3.56,6.29,4.1,4.12,5.73,3.89,4.68,3.96,5.35,4.07,3.06
1961-01,7.35,5.85,6.72,10.23,5.04,7.02,6.01,8.12,11.38,4.22,5.88,7.47,6.58,7.18,4.82,8.31,7.94,9.9,12.85
1961-02,14.5,5.79,5.51,6.14,5.82,5.44,6.17,5.1,6.4,4.98,6.67,5.74,5.13,6.15,6.19,4.57,5.62,7.67,5.13
1961-03,8.39,3.82,4.98,4.49,4.15,4.42,4.16,5.12,4.57,3.71,4.59,3.15,5.7,4.68,3.63,5.91,4.32,4.58,4.55
1961-04,-1.75,0.26,0.06,1.86,0.59,-0.32,0.17,0.69,2.17,-0.49,1.69,-0.41,-0.23,-0.24,0.59,0.13,1.25,2.17,2.17
1961-05,1.67,4.38,4.05,5.21,3.64,4.45,4.33,5.04,5.03,3.29,4.01,5.86,3.03,2.95,5.73,4.52,5.56,3.3,6.76
1961-06,-3.1,-3.87,-3.12,-4.24,-3.81,-3.81,-3.03,-3.35,-4.4,-3.91,-3.71,-3.99,-3.63,-3.22,-2.84,-2.78,-3.92,-3.36,-5.45
1961-07,3.54,1.38,2.13,1.28,1.32,1.67,1.59,2.81,0.9,1.41,1.21,1.53,1.82,2.52,0.67,3.55,2.06,0.61,1.21
1961-08,-4.1,3.25,2.46,1.37,3.35,2.73,2.51,2.04,1.23,1.46,5.34,3.04,2.42,2.18,2.83,2.42,1.65,1.55,0.92
1961-09,-7.98,-2.86,-2.11,-3.17,-3.11,-1.57,-2.51,-2.69,-3.4,-3.74,-2.44,-2.36,-0.77,-1.98,-3.03,-2.66,-2.72,-3.14,-3.66
1961-10,-3.47,1.85,3.18,1.4,1.96,2.36,2.57,3.75,0.62,2.07,1.85,1.62,3.11,3.76,1.39,4.5,2.99,0.53,0.72
1961-11,5.0,5.34,5.23,3.78,5.61,4.8,5.26,4.82,3.66,6.69,4.48,4.79,4.81,6.27,4.26,5.62,4.02,3.52,3.8
1961-12,3.98,-1.48,-0.77,1.86,-1.86,-1.06,-0.52,0.66,1.82,-1.42,-2.33,-0.69,-1.43,-1.8,0.74,-0.59,1.93,0.94,2.73
1962-01,4.69,-3.91,-1.9,0.94,-4.3,-2.09,-2.73,-1.08,1.92,-4.75,-3.82,-3.11,-1.06,-2.96,-2.51,-1.06,-1.09,0.99,2.87
1962-02,1.09,0.32,1.63,2.22,0.51,0.52,1.75,1.73,2.53,-0.99,2.09,-0.08,1.13,1.8,1.7,1.87,1.58,1.36,3.72
1962-03,-0.02,-0.38,0.31,-0.84,-0.33,-0.21,0.59,-0.12,-1.12,-0.69,0.03,-0.48,0.06,0.66,0.52,0.01,-0.25,-1.15,-1.09
1962-04,-13.64,-8.18,-5.96,-6.48,-8.5,-6.14,-6.19,-6.44,-6.63,-9.26,-7.69,-7.53,-4.75,-5.67,-6.7,-6.72,-6.16,-6.3,-6.97
1962-05,-11.36,-11.3,-9.11,-8.91,-12.27,-9.75,-8.89,-8.59,-9.01,-13.17,-11.32,-9.33,-10.17,-9.24,-8.54,-8.49,-8.69,-9.17,-8.85
